Sprint_ID,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP0001,58,56,96.55,4,42,2,7,1,Bob,37,38,21,8,1,180.95,1,ISS0001,Story,Medium,12,1,Fix bug,19,46,29,4,1,0,Improve performance,User request,Bug,2,5,David,3
SP0002,71,55,77.46,7,45,4,7,0,David,23,35,32,3,4,109.38,0,ISS0002,Bug,High,12,1,Add feature,13,24,38,1,2,0,Develop feature,User request,Feature,8,12,Alice,6
SP0003,48,26,54.17,9,56,4,5,0,Alice,36,34,26,6,2,130.77,1,ISS0003,Story,Low,13,4,Refactor code,11,55,35,3,0,0,Develop feature,Critical bug,Bug,13,7,Bob,19
SP0004,34,19,55.88,2,43,0,0,0,Carol,33,49,29,4,0,168.97,1,ISS0004,Story,High,12,1,Update UI,10,45,17,1,2,1,Develop feature,New module,Bug,5,9,Alice,5
SP0005,62,49,79.03,3,68,0,10,0,Carol,33,33,32,9,2,103.12,0,ISS0005,Story,Low,7,2,Update UI,14,50,19,0,0,0,Fix bug,Tech debt,Refactor,11,2,Carol,13
SP0006,27,11,40.74,8,38,0,2,0,Alice,32,31,35,7,2,88.57,0,ISS0006,Task,Low,13,4,Add feature,15,29,25,1,1,0,Fix bug,Critical bug,Refactor,3,9,Bob,10
SP0007,40,37,92.5,6,70,4,2,1,Carol,26,36,45,9,0,80.0,0,ISS0007,Story,High,10,7,Refactor code,10,45,38,0,4,0,Code cleanup,Tech debt,Performance,10,10,Carol,8
SP0008,58,25,43.1,0,44,4,5,0,Alice,34,24,33,3,2,72.73,0,ISS0008,Bug,Medium,11,2,Refactor code,13,41,21,1,4,1,Develop feature,User request,Refactor,11,6,David,16
SP0009,77,41,53.25,3,40,4,3,0,Bob,38,45,30,1,3,150.0,1,ISS0009,Task,Low,4,8,Add feature,6,31,20,0,3,1,Code cleanup,Tech debt,Performance,12,12,Carol,12
SP0010,38,15,39.47,3,31,2,2,0,David,54,47,29,5,3,162.07,1,ISS0010,Task,Low,4,7,Fix bug,2,51,28,0,3,1,Fix bug,Tech debt,Feature,15,6,Carol,13
SP0011,42,37,88.1,8,76,4,7,0,Bob,36,30,25,3,3,120.0,0,ISS0011,Bug,High,17,9,Refactor code,22,46,15,1,2,1,Improve performance,Tech debt,Bug,4,11,Alice,11
SP0012,30,23,76.67,5,60,2,5,0,Bob,54,52,23,6,4,226.09,1,ISS0012,Story,Medium,4,6,Update UI,6,52,31,4,0,0,Develop feature,User request,Refactor,2,3,Alice,5
