Sprint_ID,Planned_Story_Points_Sprint,Completed_Story_Points,Percent_Done,Days_Remaining_Sprint,Historical_Velocity,Blocked_Stories,Scope_Change,Success_Label,Assignee,Planned_Story_Points_Resource,Current_Assigned_SP,Historical_Avg_SP,Remaining_Days_Resource,High_Priority_Tasks_Resource,Current_Workload_Percent,Expected_Overload,Issue_ID,Issue_Type,Priority,Original_Estimate_Hours,Story_Points_Issue,Description_Issue,Resolution_Time_Hours,Total_SP_This_Sprint,Historical_Avg_SP_Burnout,High_Priority_Tasks_Burnout,Consecutive_Overloads,Risk_Flag,Summary,Description_Resource,Labels,Original_Estimate_Resource,Story_Points_Resource,Assignee_Resource,Resolution_Time_Resource
SP0392,60.99,26.88,45.54,-1.07,66.28,2.1,2.47,0.71,David,61.6,59.25,45.69,4.21,2.94,198.02,0.59,ISS0906,Story,Medium,7.12,8.98,Fix bug,10.55,42.98,25.66,0.0,3.97,0.35,Code cleanup,Critical bug,Performance,20.84,2.79,Alice,15.27
SP0609,54.48,20.06,97.19,4.66,44.78,2.26,0.56,0.61,Alice,34.12,64.75,37.02,7.47,-1.78,137.31,0.87,ISS0192,Bug,Medium,2.72,2.53,Fix bug,22.14,53.65,31.19,2.13,-1.47,0.54,Improve performance,Tech debt,Bug,14.61,12.7,Alice,22.93
SP0954,27.34,33.48,71.93,5.82,60.42,1.21,11.85,0.28,Bob,45.08,61.94,48.32,6.46,-0.38,101.23,1.03,ISS0522,Task,High,0.32,-3.36,Add feature,21.45,44.86,40.38,1.29,3.21,-0.26,Fix bug,Critical bug,Performance,14.55,7.88,Carol,6.34
SP0341,65.18,24.18,65.86,-2.46,77.17,4.35,3.54,-0.19,David,35.77,73.12,48.38,6.71,1.7,66.27,0.59,ISS0169,Bug,Low,4.51,5.86,Add feature,7.99,35.13,41.37,1.12,2.27,-0.01,Develop feature,New module,Refactor,13.95,8.11,Carol,16.12
SP0738,80.02,23.7,76.37,3.03,82.84,1.34,6.99,0.65,Alice,37.12,35.86,36.14,-0.54,0.07,213.21,0.16,ISS0347,Task,Low,13.54,10.89,Refactor code,15.75,44.13,27.93,2.42,3.99,0.11,Code cleanup,Critical bug,Feature,6.33,7.62,Carol,18.33
SP0369,38.9,39.07,63.11,3.04,101.52,4.03,1.7,-0.4,Bob,30.56,47.85,29.97,6.63,4.03,173.43,0.77,ISS0833,Task,Medium,22.29,7.51,Refactor code,7.96,32.61,25.84,2.14,2.41,0.64,Fix bug,User request,Bug,7.45,2.51,Carol,23.1
SP0789,46.83,34.22,57.11,5.49,45.46,1.85,-2.88,0.43,Alice,41.01,41.05,6.59,5.53,1.49,110.24,0.37,ISS0898,Bug,High,18.83,11.07,Update UI,23.81,24.58,41.48,2.72,2.97,0.42,Improve performance,Tech debt,Bug,12.57,4.99,Alice,1.03
SP0574,36.58,39.03,98.64,7.25,37.47,2.24,-0.47,-0.35,Carol,35.03,45.11,36.46,1.06,0.8,172.72,0.1,ISS0942,Story,High,12.78,-4.32,Fix bug,27.44,30.49,26.95,0.55,2.47,0.46,Improve performance,Critical bug,Refactor,15.96,2.94,Carol,2.8
SP0042,75.93,30.93,90.09,1.85,65.36,-0.98,7.9,-0.23,Bob,40.9,63.36,34.72,1.84,3.08,139.88,0.22,ISS0701,Bug,Low,21.98,7.26,Add feature,18.34,56.8,24.3,0.97,0.47,0.21,Improve performance,User request,Refactor,8.86,5.27,David,16.15
SP0017,64.81,35.07,84.5,4.51,64.46,1.52,-3.15,-0.63,Carol,53.38,37.35,36.2,5.2,4.39,212.73,0.95,ISS0392,Task,Medium,10.78,11.69,Add feature,28.77,30.22,28.44,0.71,3.45,0.47,Improve performance,User request,Refactor,8.71,14.69,David,16.85
SP0693,46.86,64.81,49.32,5.6,30.37,1.26,9.28,0.22,Alice,41.9,38.24,44.63,6.42,4.03,183.21,0.43,ISS0511,Task,High,9.06,3.61,Add feature,21.33,39.2,16.22,1.68,3.06,-0.0,Improve performance,Tech debt,Refactor,13.56,3.14,Alice,17.37
